174566;1409;2624;1154;41147
175272;1341;2555;1214;40518
175394;1356;2730;1082;40338
174532;1319;2603;1144;41302
174515;1272;2610;1229;41274
175151;1385;2664;1204;40496
174795;1278;2554;1140;41133
174770;1321;2635;1130;41044
174159;1353;2606;1177;41605
174182;1357;2649;1248;41464
173559;1374;2624;1237;42106
174861;1326;2518;1211;40984
173062;1390;2729;1240;42479
173987;1433;2673;1196;41611
175684;1289;2509;1162;40256
173816;1285;2592;1224;41983
174706;1366;2487;1167;41174
174165;1349;2639;1212;41535
174068;1320;2604;1191;41717
175492;1313;2554;1163;40378
173078;1417;2694;1212;42499
174464;1286;2621;1199;41330
174551;1295;2702;1105;41247
175398;1311;2528;1202;40461
174573;1380;2583;1178;41186
174777;1347;2536;1232;41008
173579;1405;2679;1227;42010
174271;1394;2643;1205;41387
174207;1395;2649;1175;41474
175306;1355;2614;1130;40495
174472;1314;2598;1169;41347
176978;1321;2613;1096;38892
173735;1397;2502;1138;42128
174157;1413;2675;1152;41503
175553;1326;2625;1206;40190
174681;1337;2598;1131;41153
175560;1283;2516;1217;40324
174643;1339;2580;1217;41121
174796;1326;2622;1199;40957
176672;1287;2510;1098;39333
176045;1341;2562;1154;39798
174532;1383;2663;1215;41107
175083;1282;2632;1166;40737
174591;1315;2656;1173;41165
174286;1427;2601;1222;41364
175027;1316;2521;1178;40858
174773;1364;2656;1227;40880
173502;1395;2688;1177;42138
175542;1240;2505;1222;40391
173604;1404;2674;1199;42019
173706;1464;2578;1227;41925
173998;1416;2656;1201;41629
174572;1395;2680;1174;41079
174906;1376;2633;1117;40868
172195;1441;2722;1230;43312
173485;1372;2616;1187;42240
176433;1262;2645;1084;39476
172692;1420;2778;1185;42825
173870;1416;2633;1202;41779
175131;1281;2557;1164;40767
175052;1318;2613;1205;40712
175638;1295;2545;1139;40283
174824;1342;2661;1205;40868
173310;1383;2517;1237;42453
175159;1361;2639;1161;40580
175623;1399;2710;1181;39987
173735;1293;2628;1207;42037
174970;1316;2620;1160;40834
174585;1334;2619;1190;41172
174330;1359;2582;1267;41362
173898;1367;2728;1191;41716
174813;1352;2655;1234;40846
175222;1355;2600;1209;40514
174665;1289;2680;1176;41090
175204;1335;2655;1177;40529
175395;1321;2575;1142;40467
174877;1388;2693;1147;40795
174842;1391;2656;1177;40834
175628;1315;2529;1122;40306
173514;1351;2689;1234;42112
175383;1342;2536;1137;40502
174767;1349;2531;1188;41065